model,calibration_seed,layer,mse,ip,effective_dimension,risk_score,rank,source
Qwen2.5-3B,0,0,203.70188903808597,7658.190185546875,25.1072678565979,212.68537968002173,1,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,27,48.172987937927246,35.19603443145752,22.11954069137573,51.807146400002175,2,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,1,6.749404788017273,457.0768661499024,12.641201496124268,12.955548192656758,3,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,18,6.030622482299805,105.3151969909668,28.780245780944824,10.73177677555792,4,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,2,3.6456360816955566,165.64644241333008,12.864867210388184,8.839241616831693,5,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,20,4.8989551067352295,42.03005790710449,26.446945190429688,8.69866554968521,6,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,29,4.000307679176331,23.87786197662353,27.79155778884888,7.250268159900076,7,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,24,2.7602973580360413,54.336374282836914,27.710720539093018,6.809814929618948,8,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,19,2.0898331999778748,90.08252716064452,35.20061016082764,6.630007785863153,9,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,14,2.6055437326431274,47.2951021194458,30.218916416168213,6.515965737755323,10,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,35,2.3662513494491577,54.233041763305664,37.196367263793945,6.404697052121006,11,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,16,2.3552358746528625,52.43452739715576,32.51028823852539,6.364452485654506,12,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,12,2.518787384033203,34.501951694488525,34.83434343338013,6.117082357827364,13,four_domain_ctx4096_depth50_calibration_only
Qwen2.5-3B,0,5,1.9970858693122864,54.4088716506958,44.17159080505371,6.034464573759149,14,four_domain_ctx4096_depth50_calibration_only
