model,sample_id,task,category,context_length,generation_seed,fp16_success,aggressive_success,fp16_valid,aggressive_valid
qwen25_3b,qwen25_3b:fwe:4096:000:0,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:001:1,fwe,Aggregation,4096,20260822,1,1,1,1
qwen25_3b,qwen25_3b:fwe:4096:002:2,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:003:3,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:004:4,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:005:5,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:006:6,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:007:7,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:008:8,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:009:9,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:010:10,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:011:11,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:012:12,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:013:13,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:014:14,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:015:15,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:016:16,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:017:17,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:018:18,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:019:19,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:020:20,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:021:21,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:022:22,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:023:23,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:024:24,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:025:25,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:026:26,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:027:27,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:028:28,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:029:29,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:030:30,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:031:31,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:032:32,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:033:33,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:034:34,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:035:35,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:036:36,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:037:37,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:038:38,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:039:39,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:040:40,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:041:41,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:042:42,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:043:43,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:044:44,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:045:45,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:046:46,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:047:47,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:048:48,fwe,Aggregation,4096,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:4096:049:49,fwe,Aggregation,4096,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:000:0,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:001:1,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:002:2,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:003:3,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:004:4,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:005:5,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:006:6,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:007:7,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:008:8,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:009:9,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:010:10,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:011:11,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:012:12,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:013:13,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:014:14,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:015:15,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:016:16,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:017:17,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:018:18,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:019:19,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:020:20,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:021:21,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:022:22,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:023:23,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:024:24,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:025:25,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:026:26,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:027:27,fwe,Aggregation,8192,20260822,0,1,1,1
qwen25_3b,qwen25_3b:fwe:8192:028:28,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:029:29,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:030:30,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:031:31,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:032:32,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:033:33,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:034:34,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:035:35,fwe,Aggregation,8192,20260822,1,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:036:36,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:037:37,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:038:38,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:039:39,fwe,Aggregation,8192,20260822,0,0,1,1
qwen25_3b,qwen25_3b:fwe:8192:040:40,fwe,Aggregation,8192,20260822,0,0,1,1
