model,weights,layer,mse_norm,log_ip_norm,inverse_effdim_norm,risk_score,rank
Qwen3-4B,1_1_1,0,1.0000000000,1.0000000000,1.0000000000,3.0000000000,1
Qwen3-4B,1_1_1,1,0.0237641995,0.3618114040,0.6610393802,1.0466149837,3
Qwen3-4B,1_1_1,2,0.0034668400,0.1479738269,0.1859327705,0.3373734375,11
Qwen3-4B,1_1_1,3,0.0009708389,0.0516340771,0.0284690240,0.0810739401,26
Qwen3-4B,1_1_1,4,0.0322270638,0.4304076318,0.4054124513,0.8680471468,5
Qwen3-4B,1_1_1,5,0.0895565427,0.5687360765,0.3424419692,1.0007345883,4
Qwen3-4B,1_1_1,6,0.0191933681,0.3767744406,0.4486834082,0.8446512169,6
Qwen3-4B,1_1_1,7,0.0023953941,0.0119254571,0.0046874042,0.0190082555,34
Qwen3-4B,1_1_1,8,0.0302460728,0.4431271680,0.6483528439,1.1217260846,2
Qwen3-4B,1_1_1,9,0.0000000000,0.0141446991,0.0134694637,0.0276141628,33
Qwen3-4B,1_1_1,10,0.0176767261,0.3308907234,0.4669853166,0.8155527661,7
Qwen3-4B,1_1_1,11,0.0155083159,0.3224895564,0.2710781307,0.6090760029,9
Qwen3-4B,1_1_1,12,0.0082842413,0.2415719250,0.1806480338,0.4305042001,10
Qwen3-4B,1_1_1,13,0.0010199133,0.0076688582,0.0000000000,0.0086887715,35
Qwen3-4B,1_1_1,14,0.0085496889,0.2361572959,0.0496916946,0.2943986794,12
Qwen3-4B,1_1_1,15,0.0016335874,0.0333478867,0.0084215937,0.0434030678,31
Qwen3-4B,1_1_1,16,0.0021983802,0.0948295063,0.0698399990,0.1668678855,18
Qwen3-4B,1_1_1,17,0.0014546540,0.0484626394,0.0169252373,0.0668425306,28
Qwen3-4B,1_1_1,18,0.0025678421,0.0980596163,0.0532862859,0.1539137442,20
Qwen3-4B,1_1_1,19,0.0018401897,0.0629269249,0.0123572755,0.0771243901,27
Qwen3-4B,1_1_1,20,0.0013373363,0.0402105476,0.0096948296,0.0512427136,29
Qwen3-4B,1_1_1,21,0.0029111981,0.0921543542,0.0388885367,0.1339540890,21
Qwen3-4B,1_1_1,22,0.0047044796,0.1584730285,0.0865918036,0.2497693117,16
Qwen3-4B,1_1_1,23,0.0101553685,0.1927147037,0.0757869124,0.2786569846,13
Qwen3-4B,1_1_1,24,0.0013926545,0.0382808938,0.0088493916,0.0485229399,30
Qwen3-4B,1_1_1,25,0.0030924486,0.1051605603,0.0463427974,0.1545958064,19
Qwen3-4B,1_1_1,26,0.0018575592,0.0766578170,0.0196157091,0.0981310852,24
Qwen3-4B,1_1_1,27,0.0012687420,0.0988751912,0.0315305728,0.1316745061,22
Qwen3-4B,1_1_1,28,0.0026048029,0.1158717150,0.0739137572,0.1923902751,17
Qwen3-4B,1_1_1,29,0.0012747618,0.0508182114,0.0300862477,0.0821792209,25
Qwen3-4B,1_1_1,30,0.0034961944,0.1455434031,0.1037828389,0.2528224364,15
Qwen3-4B,1_1_1,31,0.0007119367,0.0278284924,0.0066023543,0.0351427834,32
Qwen3-4B,1_1_1,32,0.0011178955,0.0665257106,0.0446356598,0.1122792659,23
Qwen3-4B,1_1_1,33,0.0000119169,0.0000000000,0.0043993193,0.0044112362,36
Qwen3-4B,1_1_1,34,0.0042261206,0.1540810863,0.1018247754,0.2601319823,14
Qwen3-4B,1_1_1,35,0.0226755358,0.3578808014,0.3055498778,0.6861062150,8
Qwen3-4B,1_1_0p5,0,1.0000000000,1.0000000000,1.0000000000,2.5000000000,1
Qwen3-4B,1_1_0p5,1,0.0237641995,0.3618114040,0.6610393802,0.7160952936,4
Qwen3-4B,1_1_0p5,2,0.0034668400,0.1479738269,0.1859327705,0.2444070522,12
Qwen3-4B,1_1_0p5,3,0.0009708389,0.0516340771,0.0284690240,0.0668394281,27
Qwen3-4B,1_1_0p5,4,0.0322270638,0.4304076318,0.4054124513,0.6653409211,5
Qwen3-4B,1_1_0p5,5,0.0895565427,0.5687360765,0.3424419692,0.8295136037,2
Qwen3-4B,1_1_0p5,6,0.0191933681,0.3767744406,0.4486834082,0.6203095128,6
Qwen3-4B,1_1_0p5,7,0.0023953941,0.0119254571,0.0046874042,0.0166645534,34
Qwen3-4B,1_1_0p5,8,0.0302460728,0.4431271680,0.6483528439,0.7975496627,3
Qwen3-4B,1_1_0p5,9,0.0000000000,0.0141446991,0.0134694637,0.0208794309,33
Qwen3-4B,1_1_0p5,10,0.0176767261,0.3308907234,0.4669853166,0.5820601078,7
Qwen3-4B,1_1_0p5,11,0.0155083159,0.3224895564,0.2710781307,0.4735369376,9
