model,risk_score,k,cumulative_count,cumulative_percent,exact_at_k_count,exact_at_k_percent
Qwen2.5-3B,MSE,1,65,90.278,65,90.278
Qwen2.5-3B,MSE,2,66,91.667,62,86.111
Qwen2.5-3B,MSE,3,69,95.833,65,90.278
Qwen2.5-3B,MSE,4,70,97.222,66,91.667
Qwen2.5-3B,MSE,5,70,97.222,67,93.056
Qwen2.5-3B,MSE,6,70,97.222,68,94.444
Qwen2.5-3B,MSE,7,71,98.611,69,95.833
Qwen2.5-3B,MSE,8,72,100.000,68,94.444
Qwen2.5-3B,MSE,9,72,100.000,70,97.222
Qwen2.5-3B,MSE,10,72,100.000,70,97.222
Qwen2.5-3B,MSE,11,72,100.000,69,95.833
Qwen2.5-3B,MSE,12,72,100.000,67,93.056
Qwen2.5-3B,MSE + IP,1,65,90.278,65,90.278
Qwen2.5-3B,MSE + IP,2,69,95.833,66,91.667
Qwen2.5-3B,MSE + IP,3,72,100.000,70,97.222
Qwen2.5-3B,MSE + IP,4,72,100.000,68,94.444
Qwen2.5-3B,MSE + IP,5,72,100.000,68,94.444
Qwen2.5-3B,MSE + IP,6,72,100.000,71,98.611
Qwen2.5-3B,MSE + IP,7,72,100.000,71,98.611
Qwen2.5-3B,MSE + IP,8,72,100.000,69,95.833
Qwen2.5-3B,MSE + IP,9,72,100.000,70,97.222
Qwen2.5-3B,MSE + IP,10,72,100.000,69,95.833
Qwen2.5-3B,MSE + IP,11,72,100.000,69,95.833
Qwen2.5-3B,MSE + IP,12,72,100.000,68,94.444
Qwen2.5-3B,Full,1,65,90.278,65,90.278
Qwen2.5-3B,Full,2,69,95.833,66,91.667
Qwen2.5-3B,Full,3,72,100.000,70,97.222
Qwen2.5-3B,Full,4,72,100.000,68,94.444
Qwen2.5-3B,Full,5,72,100.000,68,94.444
Qwen2.5-3B,Full,6,72,100.000,68,94.444
Qwen2.5-3B,Full,7,72,100.000,69,95.833
Qwen2.5-3B,Full,8,72,100.000,69,95.833
Qwen2.5-3B,Full,9,72,100.000,69,95.833
Qwen2.5-3B,Full,10,72,100.000,70,97.222
Qwen2.5-3B,Full,11,72,100.000,69,95.833
Qwen2.5-3B,Full,12,72,100.000,70,97.222
