model_id,model_name,layer,kv_type,risk_score,c_mse_upper95,c_ip_upper95,effective_dimension,rank,completed,error
qwen3_4b,Qwen3-4B-Instruct-2507,0,key,3.0,1107.09484863,14565.49023438,1.03070045,1,True,
qwen3_4b,Qwen3-4B-Instruct-2507,1,key,0.70751279,33.32501221,445.12246704,1.54337001,3,True,
qwen3_4b,Qwen3-4B-Instruct-2507,2,key,0.18554108,11.24896622,135.89105225,5.1328578,11,True,
qwen3_4b,Qwen3-4B-Instruct-2507,3,key,0.03330616,9.15539169,89.60442352,17.82841301,24,True,
qwen3_4b,Qwen3-4B-Instruct-2507,4,key,0.48933405,43.62833786,672.90362549,2.3890903,7,True,
qwen3_4b,Qwen3-4B-Instruct-2507,5,key,0.524059,103.55059814,1392.73986816,2.83204579,4,True,
qwen3_4b,Qwen3-4B-Instruct-2507,6,key,0.49597698,28.54171753,489.11297607,2.22358036,6,True,
qwen3_4b,Qwen3-4B-Instruct-2507,7,key,0.00641993,10.73970509,67.75949097,32.46670532,34,True,
qwen3_4b,Qwen3-4B-Instruct-2507,8,key,0.72037822,40.26755905,709.50311279,1.57005835,2,True,
qwen3_4b,Qwen3-4B-Instruct-2507,9,key,0.01277751,8.13346577,66.78835297,25.57911682,31,True,
qwen3_4b,Qwen3-4B-Instruct-2507,10,key,0.51129857,26.90397263,388.01699829,2.11797547,5,True,
qwen3_4b,Qwen3-4B-Instruct-2507,11,key,0.31112136,25.65285492,372.35202026,3.50264049,9,True,
qwen3_4b,Qwen3-4B-Instruct-2507,12,key,0.20046843,16.94194412,229.66488647,5.05262089,10,True,
qwen3_4b,Qwen3-4B-Instruct-2507,13,key,0.00128648,9.24829578,66.22703552,36.57671356,36,True,
qwen3_4b,Qwen3-4B-Instruct-2507,14,key,0.07152084,17.3809967,232.394104,13.19581318,18,True,
qwen3_4b,Qwen3-4B-Instruct-2507,15,key,0.01126287,9.74834347,77.23322296,28.08852577,32,True,
qwen3_4b,Qwen3-4B-Instruct-2507,16,key,0.07773188,10.55008507,108.29370117,10.46391869,16,True,
qwen3_4b,Qwen3-4B-Instruct-2507,17,key,0.02092116,9.65967846,85.96894836,22.61602592,27,True,
qwen3_4b,Qwen3-4B-Instruct-2507,18,key,0.06242666,10.84850883,113.85967255,12.4196291,19,True,
qwen3_4b,Qwen3-4B-Instruct-2507,19,key,0.01728035,9.88807583,87.63572693,24.70399475,28,True,
qwen3_4b,Qwen3-4B-Instruct-2507,20,key,0.01310737,9.60981655,79.31162262,26.79198837,30,True,
qwen3_4b,Qwen3-4B-Instruct-2507,21,key,0.04745299,11.24474812,110.44271088,15.0871439,21,True,
qwen3_4b,Qwen3-4B-Instruct-2507,22,key,0.09279852,13.08795261,144.06175232,9.49941063,14,True,
qwen3_4b,Qwen3-4B-Instruct-2507,23,key,0.08968748,18.28344154,175.36633301,10.43365955,15,True,
qwen3_4b,Qwen3-4B-Instruct-2507,24,key,0.01449983,9.60046387,81.16807556,25.95728111,29,True,
qwen3_4b,Qwen3-4B-Instruct-2507,25,key,0.05355878,11.62099552,117.14968109,14.02923012,20,True,
qwen3_4b,Qwen3-4B-Instruct-2507,26,key,0.02558631,10.30654812,100.02019501,21.21043968,26,True,
qwen3_4b,Qwen3-4B-Instruct-2507,27,key,0.03663915,9.43934345,105.11422729,17.24706078,23,True,
qwen3_4b,Qwen3-4B-Instruct-2507,28,key,0.07759092,10.73710537,121.32930756,10.59034157,17,True,
qwen3_4b,Qwen3-4B-Instruct-2507,29,key,0.03323921,9.39669991,82.53495026,17.7684021,25,True,
qwen3_4b,Qwen3-4B-Instruct-2507,30,key,0.10351049,11.60365772,133.387146,8.52244759,13,True,
qwen3_4b,Qwen3-4B-Instruct-2507,31,key,0.00841893,8.91476917,73.03117371,29.49103546,33,True,
qwen3_4b,Qwen3-4B-Instruct-2507,32,key,0.04671725,9.23638821,87.40835571,14.53308964,22,True,
qwen3_4b,Qwen3-4B-Instruct-2507,33,key,0.00511583,8.16342163,62.28160477,31.11612129,35,True,
qwen3_4b,Qwen3-4B-Instruct-2507,34,key,0.11042993,12.4963789,146.09289551,8.17866135,12,True,
qwen3_4b,Qwen3-4B-Instruct-2507,35,key,0.35242729,32.25320053,428.42453003,3.1732235,8,True,
