model,domain,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12
Qwen3-4B,code,88.888889,100,100,100,100,100,100,100,100,100,100,100
Qwen3-4B,literature,94.444445,100,100,100,100,100,100,100,100,100,100,100
Qwen3-4B,math,50,83.333333,100,100,100,100,100,100,100,100,100,100
Qwen3-4B,science,66.666667,100,100,100,100,100,100,100,100,100,100,100
Qwen2.5-3B,code,100,100,100,100,100,100,100,100,100,100,100,100
Qwen2.5-3B,literature,72.222222,94.444445,100,100,100,100,100,100,100,100,100,100
Qwen2.5-3B,math,94.444445,94.444445,100,100,100,100,100,100,100,100,100,100
Qwen2.5-3B,science,94.444445,94.444445,100,100,100,100,100,100,100,100,100,100
Qwen2.5-14B,code,100,100,100,100,100,100,100,100,100,100,100,100
Qwen2.5-14B,literature,100,100,100,100,100,100,100,100,100,100,100,100
Qwen2.5-14B,math,66.666667,66.666667,100,100,100,100,100,100,100,100,100,100
Qwen2.5-14B,science,100,100,100,100,100,100,100,100,100,100,100,100
Llama3.2-3B,code,0,16.666666,50,50,83.333333,83.333333,100,100,100,100,100,100
Llama3.2-3B,literature,0,66.666667,100,100,100,100,100,100,100,100,100,100
Llama3.2-3B,math,0,14.285714,42.857143,42.857143,57.142857,71.428571,85.714286,85.714286,85.714286,100,100,100
Llama3.2-3B,science,0,50,50,50,83.333333,100,100,100,100,100,100,100
